Initial Stack Pointer: 0x20075680
Entry Point (Reset Handler) address: 0x000806D9
Total nodes in CFG: 1909

Analyzing function sub_80019 at 0x80019

Analyzing function sub_80119 at 0x80119

Analyzing function sub_8014b at 0x8014b

Analyzing function sub_80161 at 0x80161

Analyzing function sub_801c5 at 0x801c5

Analyzing function sub_801f7 at 0x801f7

Analyzing function sub_80201 at 0x80201

Analyzing function sub_80247 at 0x80247

Analyzing function sub_80251 at 0x80251

Analyzing function sub_802d9 at 0x802d9

Analyzing function sub_802dd at 0x802dd

Analyzing function sub_802e1 at 0x802e1

Analyzing function sub_8031f at 0x8031f

Analyzing function sub_80351 at 0x80351

Analyzing function sub_80377 at 0x80377

Analyzing function sub_8037b at 0x8037b

Analyzing function sub_8037f at 0x8037f

Analyzing function sub_80399 at 0x80399

Analyzing function sub_8045b at 0x8045b

Analyzing function sub_80469 at 0x80469

Analyzing function sub_80505 at 0x80505

Analyzing function sub_80555 at 0x80555

Analyzing function sub_80569 at 0x80569

Analyzing function sub_8057d at 0x8057d

Analyzing function sub_80591 at 0x80591

Analyzing function sub_805a5 at 0x805a5

Analyzing function sub_805b9 at 0x805b9

Analyzing function sub_805cd at 0x805cd

Analyzing function sub_8062b at 0x8062b

Analyzing function sub_80631 at 0x80631

Analyzing function sub_80677 at 0x80677

Analyzing function sub_80685 at 0x80685

Analyzing function sub_8068f at 0x8068f

Analyzing function sub_80695 at 0x80695

Analyzing function sub_8069f at 0x8069f

Analyzing function sub_806a5 at 0x806a5

Analyzing function sub_806af at 0x806af

Analyzing function sub_806b5 at 0x806b5

Analyzing function sub_806cf at 0x806cf

Analyzing function sub_806d5 at 0x806d5

Analyzing function _start at 0x806d9

Analyzing function sub_80771 at 0x80771

Analyzing function sub_80867 at 0x80867

Analyzing function sub_80889 at 0x80889

Analyzing function sub_808b3 at 0x808b3

Analyzing function sub_808c1 at 0x808c1

Analyzing function sub_808c7 at 0x808c7

Analyzing function sub_808d1 at 0x808d1

Analyzing function sub_808d5 at 0x808d5

Analyzing function sub_808d9 at 0x808d9

Analyzing function sub_808ef at 0x808ef

Analyzing function sub_808f5 at 0x808f5

Analyzing function sub_8090d at 0x8090d

Analyzing function sub_80941 at 0x80941

Analyzing function sub_80967 at 0x80967

Analyzing function sub_80989 at 0x80989

Analyzing function sub_80997 at 0x80997

Analyzing function sub_809a9 at 0x809a9

Analyzing function sub_809c7 at 0x809c7

Analyzing function sub_809d1 at 0x809d1

Analyzing function sub_809f5 at 0x809f5

Analyzing function sub_80a0f at 0x80a0f

Analyzing function sub_80a15 at 0x80a15

Analyzing function sub_80a31 at 0x80a31

Analyzing function sub_80a75 at 0x80a75

Analyzing function sub_80a9d at 0x80a9d

Analyzing function sub_80aa5 at 0x80aa5

Analyzing function sub_80abb at 0x80abb

Analyzing function sub_80acd at 0x80acd

Analyzing function sub_80aef at 0x80aef

Analyzing function sub_80afb at 0x80afb

Analyzing function sub_80b15 at 0x80b15

Analyzing function sub_80b67 at 0x80b67

Analyzing function sub_80b7d at 0x80b7d

Analyzing function sub_80b81 at 0x80b81

Analyzing function sub_80b97 at 0x80b97

Analyzing function sub_80ba1 at 0x80ba1

